LanguageId,Vietnamese,English
Language,Việt Nam,English
Setting_Title,Cài đặt,Setting
Setting_Audio,Âm thanh,Audio
Setting_Music,Âm Nhạc,Music
Setting_Effect,Hiệu ứng,Effect
Setting_Language,Ngôn ngữ,Language
Setting_Data,Dữ liệu,Data
Setting_Reset,Đặt lại,Reset
Gun_Pistol,Súng lục,Pistol
Gun_DoublePistol,Súng lục đôi,Dual Pistol
Gun_Machine,Súng máy,Machine Gun
Gun_Ak,AK-47,AK-47
Gun_Shotgun,Súng thục,Shotgun
Store_Unlock,Mở khóa,Unlock
Store_LevelUp,Lên cấp,Level Up
Store_Reload,Nạp đạn,Reload
Store_Dynamite,Thuốc nổ,Dynamite
Store_Nade,Lựu đạn,Nade
Store_Cocktail,Chai xăng,M.Coktail
Store_Mine,Mìn,Mine
Store_Wood,Gỗ,Wood
Store_Bamboo,Tre,Bamboo
Store_Steel,Thép,Steel
Store_Iron,Sắt,Iron
